id;sectie_id;nume;sef_id;tag;nr_paturi
1;93815;virtual Giurgiu Vaslui;Quetzal Guadeloupe;TESA;49513
2;49704;synthesizing GB hacking;SMTP convergence;SPITAL;57366
3;53319;withdrawal;Caras-Severin state;TESA;87614
4;92654;Electronics;quantify Grocery transmitter;AMBULATORIU;45473
5;62529;Grenada withdrawal Aleea;Hunedoara deposit Macedonia;AMBULATORIU;11293
6;93265;Chips;firewall Dolj;AMBULATORIU;13279
7;93020;alliance;parsing;SPITAL;66046
8;10588;Strategist;Auto Checking Extended;SPITAL;91115
9;6048;Galati HTTP;Plastic Mouse Braila;AMBULATORIU;22913
10;44528;Soft digital;HTTP Montenegro Cotton;SPITAL;62326
